dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bagalkot|mudhol|mantur|bagalkot|mudhol|mantur|9507|1
bagalkot|mudhol|mudhol purva|bagalkot|mudhol|mudhol purva|9506|1
bagalkot|mudhol|mudhol rm school|bagalkot|mudhol|mudhol rm school|774|1
bagalkot|mudhol|mugalkhod|bagalkot|mudhol|mugalkhod|9743|1
bagalkot|mudhol|saidapur|bagalkot|mudhol|saidapur|9744|1
bagalkot|mudhol|shirol|bagalkot|mudhol|shirol|9504|1
bagalkot|mudhol|surgaon|bagalkot|mudhol|surgaon|777|1
bagalkot|mudhol|urdu mahaling|bagalkot|mudhol|urdu mahaling|9555|1
bagalkot|mudhol|urdu mudhol|bagalkot|mudhol|urdu mudhol|9508|1
bagalkot|mudhol|uttur|bagalkot|mudhol|uttur|781|1
bagalkot|mudhol|yadahalli ingalagi|bagalkot|mudhol|yadahalli ingalagi|776|1
bangalore rural|devanahalli|bidaluru|bangalore rural|devanahalli|bidaluru|2374|1
bangalore rural|devanahalli|bijjavara|bangalore rural|devanahalli|bijjavara|2375|1
bangalore rural|devanahalli|boodigere|bangalore rural|devanahalli|boodigere|9092|1
bangalore rural|devanahalli|channahalli|bangalore rural|devanahalli|channahalli|2377|1
bangalore rural|devanahalli|channarayapatna|bangalore rural|devanahalli|channarayapatna|2378|1
bangalore rural|devanahalli|doddasanne|bangalore rural|devanahalli|doddasanne|9745|1
bangalore rural|devanahalli|gudlumuddenahalli|bangalore rural|devanahalli|gudlumuddenahalli|9746|1
bangalore rural|devanahalli|jalige|bangalore rural|devanahalli|jalige|2379|1
bangalore rural|devanahalli|koira|bangalore rural|devanahalli|koira|9747|1
bangalore rural|devanahalli|kundana|bangalore rural|devanahalli|kundana|9748|1
bangalore rural|devanahalli|nalluru|bangalore rural|devanahalli|nalluru|2381|1
bangalore rural|devanahalli|sadahalli|bangalore rural|devanahalli|sadahalli|2376|1
bangalore rural|devanahalli|venkatagirikote|bangalore rural|devanahalli|venkatagirikote|2373|1
bangalore rural|devanahalli|vijaypaura|bangalore rural|devanahalli|vijaypaura|2428|1
bangalore rural|devanahalli|vishwanathapura|bangalore rural|devanahalli|vishwanathapura|2380|1
bangalore rural|devanahalli|yeliyuru|bangalore rural|devanahalli|yeliyuru|9749|1
