dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bangalore rural|hosakote|vagata|bangalore rural|hosakote|vagata|2386|1.0
bangalore rural|nelamangala|basavanahalli|bangalore rural|nelamangala|basavanahalli|2355|1.0
bangalore rural|nelamangala|dodda bele|bangalore rural|nelamangala|dodda bele|2353|1.0
bangalore rural|nelamangala|kuluvanahalli|bangalore rural|nelamangala|kuluvanahalli|2346|1.0
bangalore rural|nelamangala|manne|bangalore rural|nelamangala|manne|2351|1.0
bangalore rural|nelamangala|narasipura|bangalore rural|nelamangala|narasipura|2349|1.0
bangalore rural|nelamangala|shivagange|bangalore rural|nelamangala|shivagange|2348|1.0
bangalore rural|nelamangala|sompura|bangalore rural|nelamangala|sompura|2352|1.0
bangalore rural|nelamangala|t. beguru|bangalore rural|nelamangala|t. beguru|2347|1.0
bangalore rural|nelamangala|thyamagondlu|bangalore rural|nelamangala|thyamagondlu|2354|1.0
bangalore rural|nelamangala|yantaganahalli|bangalore rural|nelamangala|yantaganahalli|2350|1.0
bangalore u north|north1|byadara halli|bangalore u north|north1|byadara halli|8894|1.0
bangalore u north|north1|chikkabidara kallu|bangalore u north|north1|chikkabidara kallu|8904|1.0
bangalore u north|north1|heggana halli|bangalore u north|north1|heggana halli|8913|1.0
bangalore u north|north1|juganahalli|bangalore u north|north1|juganahalli|9166|1.0
bangalore u north|north1|kamakshi palya|bangalore u north|north1|kamakshi palya|8922|1.0
bangalore u north|north1|kurubara halli|bangalore u north|north1|kurubara halli|8938|1.0
bangalore u north|north1|laggere|bangalore u north|north1|laggere|8945|1.0
bangalore u north|north1|macho halli|bangalore u north|north1|macho halli|8952|1.0
bangalore u north|north1|madanayakanahalli|bangalore u north|north1|madanayakanahalli|9005|1.0
bangalore u north|north1|mallasandra|bangalore u north|north1|mallasandra|9004|1.0
bangalore u north|north1|peenya|bangalore u north|north1|peenya|9006|1.0
bangalore u north|north1|shiva nagar|bangalore u north|north1|shiva nagar|8957|1.0
bangalore u north|north1|sondekoppa|bangalore u north|north1|sondekoppa|9007|1.0
bangalore u north|north1|ullau new town|bangalore u north|north1|ullau new town|9003|1.0
bangalore u north|north2|hebbala|bangalore u north|north2|hebbala|8895|1.0
bangalore u north|north2|jallahalli|bangalore u north|north2|jallahalli|8905|1.0
bangalore u north|north2|kadu malleshwara|bangalore u north|north2|kadu malleshwara|9650|1.0
bangalore u north|north2|malleshwaram|bangalore u north|north2|malleshwaram|8994|1.0
bangalore u north|north2|palace guttahalli|bangalore u north|north2|palace guttahalli|8993|1.0
bangalore u north|north2|prakashnagar|bangalore u north|north2|prakashnagar|8996|1.0
bangalore u north|north2|sanjay nagara|bangalore u north|north2|sanjay nagara|9621|1.0
