       district       |       block        |                name                |  id  |  id  |  id   
 bangalore u north    | north-1            | peenya                             |9540|8882|9006
 bangalore u north    | north-1            | sondekoppa                         |9540|8882|9007
 bangalore u north    | north-1            | rajajinagar                        |9540|8882|9008
 bangalore u north    | north-1            | juganahalli                        |9540|8882|9166
 bangalore u north    | north-1            | gruhalakshmi layout                |9540|8882|9776
 bangalore u north    | north-1            | sree gandha kaval                  |9540|8882|9777
 bangalore u north    | north-2            | hebbala                            |9540|8883|8895
 bangalore u north    | north-2            | jallahalli                         |9540|8883|8905
 bangalore u north    | north-2            | sri ramapuram                      |9540|8883|8923
 bangalore u north    | north-2            | yeshwanthpur                       |9540|8883|8931
 bangalore u north    | north-2            | palace guttahalli                  |9540|8883|8993
 bangalore u north    | north-2            | malleshwaram                       |9540|8883|8994
 bangalore u north    | north-2            | sheshadripuram                     |9540|8883|8995
 bangalore u north    | north-2            | prakashnagar                       |9540|8883|8996
 bangalore u north    | north-2            | sanjay nagara                      |9540|8883|9621
 bangalore u north    | north-2            | kadu malleshwara                   |9540|8883|9650
 bangalore u north    | north-3            | d.j.halli                          |9540|8886|8898
 bangalore u north    | north-3            | frazer town                        |9540|8886|8908
 bangalore u north    | north-3            | j.c nagar                          |9540|8886|8917
 bangalore u north    | north-3            | banaswadi                          |9540|8886|8934
 bangalore u north    | north-3            | oph road                           |9540|8886|8941
 bangalore u north    | north-3            | pottery town                       |9540|8886|8948
 bangalore u north    | north-3            | vasanthnagar                       |9540|8886|8991
 bangalore u north    | north-3            | k.b.sandra                         |9540|8886|8992
 bangalore u north    | north-3            | murphy town                        |9540|8886|9651
 bangalore u north    | north-3            | lingarajapura                      |9540|8886|9778
 bangalore u north    | north-4            | bagalur                            |9540|8884|8896
 bangalore u north    | north-4            | byatarayanpura                     |9540|8884|8906
 bangalore u north    | north-4            | dodda byalakere                    |9540|8884|8915
 bangalore u north    | north-4            | hesargatta                         |9540|8884|8924
 bangalore u north    | north-4            | hunsemaranahalli                   |9540|8884|8932
 bangalore u north    | north-4            | kakolu                             |9540|8884|8939
 bangalore u north    | north-4            | kudragera                          |9540|8884|8946
 bangalore u north    | north-4            | rajankunte                         |9540|8884|8953
 bangalore u north    | north-4            | t.dasarahalli                      |9540|8884|8958
 bangalore u north    | north-4            | yelehanka new town                 |9540|8884|8962
 bangalore u north    | north-4            | yelehanka old town                 |9540|8884|8966
 bangalore u north    | north-4            | maralu kunte                       |9540|8884|8997
 bangalore u north    | north-4            | kodigehalli                        |9540|8884|8998
 bangalore u north    | north-4            | agrahara layout                    |9540|8884|8999
 bangalore u north    | north-4            | abbigere                           |9540|8884|9000
 bangalore u north    | north-4            | mathahalli                         |9540|8884|9001
 bangalore u north    | north-4            | chikkajalla                        |9540|8884|9002
 bangalore u north    | north-4            | nagavara                           |9540|8884|9132
 bangalore u north    | north-4            | narasipura                         |9540|8884|9661
 bangalore u north    | north-4            | singanayanahalli                   |9540|8884|9662
 bangalore u north    | north-4            | nagenahalli                        |9540|8884|9779
 bangalore u south    | anekal             | anekal town                        |9541|8887|8899
 bangalore u south    | anekal             | atthibele                          |9541|8887|8909
 bangalore u south    | anekal             | bannerugatta                       |9541|8887|8918
 bangalore u south    | anekal             | byagadadena halli                  |9541|8887|8926
 bangalore u south    | anekal             | chikka hosa halli                  |9541|8887|8935
 bangalore u south    | anekal             | harappana halli                    |9541|8887|8942
 bangalore u south    | anekal             | hebbagodi                          |9541|8887|8949
 bangalore u south    | anekal             | haragadde                          |9541|8887|8955
 bangalore u south    | anekal             | huskur                             |9541|8887|8960
 bangalore u south    | anekal             | dommasandra                        |9541|8887|8964
 bangalore u south    | anekal             | sarjapura                          |9541|8887|8967
 bangalore u south    | anekal             | mugalur                            |9541|8887|9012
 bangalore u south    | anekal             | urdu anekal                        |9541|8887|9013
 bangalore u south    | anekal             | neralur                            |9541|8887|9014
 bangalore u south    | anekal             | sab mangala                        |9541|8887|9015
 bangalore u south    | anekal             | hennagra                           |9541|8887|9016
 bangalore u south    | anekal             | chandapura                         |9541|8887|9161
 bangalore u south    | anekal             | mayasandra                         |9541|8887|9172
 bangalore u south    | anekal             | mantapa                            |9541|8887|9174
 bangalore u south    | anekal             | jigani                             |9541|8887|9175
 bangalore u south    | anekal             | neriga                             |9541|8887|9649
 bangalore u south    | anekal             | vanakanahalli                      |9541|8887|9663
 bangalore u south    | south-1            | kumbalagodu                        |9541|8879|8891
 bangalore u south    | south-1            | ganapathyhalli                     |9541|8879|8901
 bangalore u south    | south-1            | tavarekere                         |9541|8879|8910
 bangalore u south    | south-1            | basavanagudi                       |9541|8879|8919
 bangalore u south    | south-1            | kengeri                            |9541|8879|8927
 bangalore u south    | south-1            | ramasandra                         |9541|8879|8936
 bangalore u south    | south-1            | sri nagara                         |9541|8879|8943
 bangalore u south    | south-1            | kagglipura                         |9541|8879|8950
 bangalore u south    | south-1            | hosakerehalli                      |9541|8879|8951
 bangalore u south    | south-1            | utara halli                        |9541|8879|8956
 bangalore u south    | south-1            | vajara halli                       |9541|8879|8961
 bangalore u south    | south-1            | veerabhadranagara                  |9541|8879|8965
 bangalore u south    | south-1            | mallatha halli                     |9541|8879|8968
 bangalore u south    | south-1            | karisandra                         |9541|8879|8969
 bangalore u south    | south-1            | doddagollarahatti                  |9541|8879|8981
 bangalore u south    | south-1            | huluvenahalli                      |9541|8879|8982
 bangalore u south    | south-1            | sunkada katte janatha col          |9541|8879|8983
 bangalore u south    | south-1            | ramohalli                          |9541|8879|9156
 bangalore u south    | south-1            | cholanayakanahalli                 |9541|8879|9157
 bangalore u south    | south-1            | somanahalli                        |9541|8879|9158
 bangalore u south    | south-1            | vasanthapura                       |9541|8879|9167
 bangalore u south    | south-1            | sarakki                            |9541|8879|9168
 bangalore u south    | south-1            | k.gollahalli                       |9541|8879|9173
 bangalore u south    | south-2            | byatarayanapura                    |9541|8880|8892
 bangalore u south    | south-2            | chamarajpete                       |9541|8880|8902
 bangalore u south    | south-2            | hosahalli                          |9541|8880|8911
 bangalore u south    | south-2            | k.p.agrahara                       |9541|8880|8920
 bangalore u south    | south-2            | kalasipalya                        |9541|8880|8928
 bangalore u south    | south-2            | chikkapete                         |9541|8880|8984
 bangalore u south    | south-2            | arundhathinagara                   |9541|8880|8985
 bangalore u south    | south-2            | govindaraja nagara                 |9541|8880|8986
 bangalore u south    | south-2            | attiguppe                          |9541|8880|9159
 bangalore u south    | south-2            | bapujinagara                       |9541|8880|9160
 bangalore u south    | south-2            | binnipete                          |9541|8880|9169
 bangalore u south    | south-2            | urdu gangondanhalli                |9541|8880|9170
 bangalore u south    | south-2            | goripalya                          |9541|8880|9171
 bangalore u south    | south-2            | urdu chamarajpete                  |9541|8880|9780
 bangalore u south    | south-2            | urdu padarayanpura                 |9541|8880|9781
 bangalore u south    | south-3            | begur                              |9541|8881|8893
 bangalore u south    | south-3            | ejipura                            |9541|8881|8912
 bangalore u south    | south-3            | gottigere                          |9541|8881|8921
 bangalore u south    | south-3            | konana kunte                       |9541|8881|8929
 bangalore u south    | south-3            | madivala                           |9541|8881|8937
 bangalore u south    | south-3            | yellukunte                         |9541|8881|8944
 bangalore u south    | south-3            | yadiyur                            |9541|8881|8988
 bangalore u south    | south-3            | lalbagh siddapura                  |9541|8881|8989
 bangalore u south    | south-3            | dommaluru                          |9541|8881|8990
 bangalore u south    | south-3            | hongasandra                        |9541|8881|9162
 bangalore u south    | south-3            | singasandra                        |9541|8881|9163
 bangalore u south    | south-3            | wilson garden                      |9541|8881|9509
 bangalore u south    | south-3            | gurappanapalya                     |9541|8881|9510
 bangalore u south    | south-3            | urdu1                              |9541|8881|9537
 bangalore u south    | south-3            | urdu2                              |9541|8881|9538
 bangalore u south    | south-3            | austin town                        |9541|8881|9539
 bangalore u south    | south-3            | arakere                            |9541|8881|9782
 bangalore u south    | south-4            | channasandra                       |9541|8885|8897
 bangalore u south    | south-4            | dodda kannahalli                   |9541|8885|8907
 bangalore u south    | south-4            | hoodi                              |9541|8885|8916
 bangalore u south    | south-4            | jeevan bima nagar                  |9541|8885|8925
 bangalore u south    | south-4            | k r pura                           |9541|8885|8933
