dist|blck|clst|village|pin|dise|name|dist|blck|clst|klpid|name|dise
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | KAGALGOMB                        |587205|29020106802| GOVT KGHPS KAGALAGOMB| bagalkot          | badami             | kagalgomba                |1822| GOVT KGHPS KAGALAGOMB                                      |29020106802
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | KERAKALMATTI                     |587206|29020108401| GOVT HPS KERAKALAMATTI| bagalkot          | badami             | kagalgomba                |1823| GOVT HPS KERAKALAMATTI                                     |29020108401
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | MALAGI                           |587206|29020109901| GOVT HPS MALAGI| bagalkot          | badami             | kagalgomba                |1824| GOVT HPS MALAGI                                            |29020109901
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | MALAGI                           |587206|29020109902| GOVT LPS MOHANAPUR| bagalkot          | badami             | kagalgomba                |1825| GOVT LPS MOHANAPUR                                         |29020109902
 BAGALKOT             | BADAMI             | KAGALGOMBA                         | SULIKERI                         |587205|29020113201| GOVT HPS SULIKERI| bagalkot          | badami             | kagalgomba                |1826| GOVT HPS SULIKERI                                          |29020113201
 BAGALKOT             | BADAMI             | KATAGERI                           | HANGARAGI                        |587205|29020104501| GOVT HPS HANGARAGI| bagalkot          | badami             | katageri                  |1830| GOVT HPS HANGARAGI                                         |29020104501
 BAGALKOT             | BADAMI             | HANSANUR                           | HANSANUR                         |587201|29020104601| GOVT HPS HANSANUR| bagalkot          | badami             | katageri                  |1831| GOVT HPS HANSANUR                                          |29020104601
 BAGALKOT             | BADAMI             | HANSANUR                           | HANSANUR                         |587203|29020104603| GOVT KBS RAGHAPUR| bagalkot          | badami             | katageri                  |1832| GOVT KBS RAGHAPUR                                          |29020104603
 BAGALKOT             | BADAMI             | KATAGERI                           | JAMMANAKATTI                     |587205|29020106301| GOVT HPS JAMMANAKATTI| bagalkot          | badami             | katageri                  |1835| GOVT HPS JAMMANAKATTI                                      |29020106301
 BAGALKOT             | BADAMI             | KATAGERI                           | KATAGERI                         |587205|29020107801| GOVT MPS KATAGERI| bagalkot          | badami             | katageri                  |1836| GOVT MPS KATAGERI                                          |29020107801
 BAGALKOT             | BADAMI             | KATAGERI                           | KATAGERI                         |587205|29020107802| GOVT KGHPS KATAGERI| bagalkot          | badami             | katageri                  |1837| GOVT KGHPS KATAGERI                                        |29020107802
 BAGALKOT             | BADAMI             | KATAGERI                           | KONKANAKOPPA                     |587205|29020109001| GOVT HPS KONKANKOPP| bagalkot          | badami             | katageri                  |1838| GOVT HPS KONKANKOPP                                        |29020109001
