     district      |      block      |         cluster          | klpid |                 name                 
 chikkaballapura   | chintamani      | yagavakote               |10823| GLPS KAPPALLI
 kolar             | k g f           | kamasamudra              |18577| GULPS NERANATHA
 kolar             | srinivasapur    | pulugoorkote             |18553| GLPS LINGAPURA
 kolar             | srinivasapur    | mudimadagu               |18503| GLPS MALAMOTHAKAPALLI
 chikkaballapura   | chintamani      | chilakalanerpu           |10956| GLPS CHINNEPALLI
 chamarajanagara   | gundlupet       | hangala                  |6796| GLPS ADINA KANIVE
 chikkaballapura   | bagepally       | yallampalli              |10395| GLPS CHIKKATHIMMANAHALLI
 chikkaballapura   | chintamani      | batlahalli               |10908| GLPS SOMAKALAHALLI
 bagalkot          | bagalkot        | shirur                   |30245| UBS Gaddanakeri
 bagalkot          | bagalkot        | mugalolli                |30240| UBLPS CHIKKAMYAGERI
 chamarajanagara   | chamaraja nagar | chamarajanagar - iii     |6606| GHPS BOYS
